movie_name,movie_code,actor_name,actor_code,open_date,audience
____________,20122783,_________,20186162,10.5.13,"1,724,013"
_________,20090904,_________,10000558,06.4.6,"1,723,834"
_________,20090904,_________,10005693,05.5.4,"1,723,656"
_________,20090904,_________,10037018,07.4.12,"1,723,477"
_________,20090904,_________,20122704,03.10.24,"1,723,299"
_________,20090904,_________,20122811,11.8.4,"1,723,120"
_________,20090904,_________,10054609,09.4.30,"1,722,942"
_________,20090904,______,10089676,03.7.11,"1,722,763"
_________,20090904,_________,10028998,11.7.28,"1,722,585"
_________,20090904,_________,20135494,04.6.3,"1,722,407"
_________,20090904,_________,20136308,05.4.28,"1,722,228"
______,20148851,_________,10061467,15.5.14,"1,722,050"
______,20148851,_________,10057315,15.1.21,"1,721,871"
______,20148851,_________,10087253,07.10.18,"1,721,693"
______,20148851,_________,10050151,04.7.22,"1,721,514"
______,20148851,_________,10067353,10.12.22,"1,721,336"
______,20148851,_________,10054755,10.11.10,"1,721,157"
______,20148851,_________,10072168,09.9.24,"1,720,979"
_________,20112695,_________,10005276,11.12.21,"1,720,800"
_________,20112695,_________,10053802,14.10.8,"1,720,622"
_________,20112695,_________,20133691,04.4.15,"1,720,444"
_________,20112695,_________,20130809,07.9.19,"1,720,265"
_________ ______,20030046,_________,10037018,07.11.14,"1,720,087"
_________ ______,20030046,_________,10004396,06.4.27,"1,719,908"
_________ ______,20030046,_________,10004034,13.5.16,"1,719,730"
_________ ______,20030046,_________,10062138,07.12.12,"1,719,551"
_________ ______,20030046,_________,20123042,10.12.1,"1,719,373"
_________ ______,20030046,_________,20125478,06.3.23,"1,719,194"
_________ ______,20030046,_________,10054707,08.7.31,"1,719,016"
_________ ______,20030046,_________,20135652,15.8.20,"1,718,838"
_________ ______,20030046,_________,10072869,04.4.30,"1,718,659"
_________ ______,20030046,_________,10040850,06.6.15,"1,718,481"
______,20124039,_________,10035772,04.8.13,"1,718,302"
______,20124039,_________,10036883,14.1.22,"1,718,124"
______,20124039,_________,10004396,04.5.5,"1,717,945"
______,20124039,_________,10071183,04.9.3,"1,717,767"
______,20124039,_________,10065832,09.9.9,"1,717,588"
______,20124039,_________,10005410,05.3.17,"1,717,410"
______,20124039,_________,20128252,09.4.2,"1,717,231"
_________,20040785,_________,10066380,15.1.14,"1,717,053"
_________,20040785,_________,10004139,11.1.20,"1,716,875"
_________,20040785,_________,20110143,06.9.28,"1,716,696"
_________,20040785,_________,20124437,10.9.9,"1,716,518"
_________,20040785,_________,10035708,12.5.3,"1,716,339"
_________,20040785,_________,10062328,11.2.17,"1,716,161"
_________,20040785,_________,20148680,13.3.21,"1,715,982"
_________,20080046,_________,10005276,06.2.16,"1,715,804"
_________,20080046,_________,10087253,03.9.5,"1,715,625"
_________,20080046,_________,10035492,13.12.11,"1,715,447"
____________ ____________,20030004,_________,10002387,10.8.12,"1,715,268"
____________ ____________,20030004,_________,10006171,07.2.8,"1,715,090"
____________ ____________,20030004,______,10001901,12.12.6,"1,714,912"
____________ ____________,20030004,_________,20111512,06.2.9,"1,714,733"
____________ ____________,20030004,_________,10006385,09.7.15,"1,714,555"
____________ ____________,20030004,_________,20123928,04.2.20,"1,714,376"
____________ ____________,20030004,_________,10037085,08.10.23,"1,714,198"
____________ ____________,20030004,_________,20113265,03.8.1,"1,714,019"
_________ ______ ____________,20124067,_________,10071209,13.10.24,"1,713,841"
_________ ______ ____________,20124067,_________,10050782,14.10.2,"1,713,662"
_________ ______ ____________,20124067,_________,20112889,03.8.14,"1,713,484"
_________ ______ ____________,20124067,_________,10035832,06.10.19,"1,713,305"
_________ ______ ____________,20124067,_________,10040580,14.7.30,"1,713,127"
_________ ______ ____________,20124067,_________,10001779,14.12.17,"1,712,949"
_________ ______ ____________,20124067,_________,20129609,15.8.5,"1,712,770"
_________ ______ ____________,20124067,_________,10057696,06.7.27,"1,712,592"
_________ ______ ____________,20124067,_________,20121442,12.7.25,"1,712,413"
_________ ______ ____________,20124067,_________,20110313,13.1.23,"1,712,235"
______ ___ ______ _________ ______,20141111,_________,20198488,15.7.22,"1,712,056"
______ ___ ______ _________ ______,20141111,_________,20198489,12.9.13,"1,711,878"
_______________ : __________________ ______,20102414,_________,10004060,05.12.29,"1,711,699"
_______________ : __________________ ______,20102414,_________,10087751,04.2.5,"1,711,521"
_______________ : __________________ ______,20102414,_________,10050151,09.7.22,"1,711,342"
_______________ : __________________ ______,20102414,_________,20166713,13.12.18,"1,711,164"
_______________ : __________________ ______,20102414,_________,20127292,03.12.24,"1,710,986"
_______________ : __________________ ______,20102414,_________,20142429,13.8.1,"1,710,807"
______: _________ ______,20123501,_________,10087253,13.9.11,"1,710,629"
______: _________ ______,20123501,_________,10000558,14.8.6,"1,710,450"
______: _________ ______,20123501,_________,10067353,14.1.22,"1,710,272"
______: _________ ______,20123501,_________,10021341,09.7.29,"1,710,093"
______: _________ ______,20123501,_________,10061699,07.8.1,"1,709,915"
______: _________ ______,20123501,_________,20127194,08.12.3,"1,709,736"
______: _________ ______,20123501,_________,20157197,05.8.4,"1,709,558"
______: _________ ______,20123501,_________,20111954,11.8.10,"1,709,380"
______: _________ ______,20123501,_________,10054755,11.5.4,"1,709,201"
______: _________ ______,20123501,_________,20110148,07.7.25,"1,709,023"
____________ ______: ____________ ____________,20113557,_________,10072251,13.1.30,"1,708,844"
____________ ______: ____________ ____________,20113557,_________,10087253,13.6.5,"1,708,666"
____________ ______: ____________ ____________,20113557,_________,10040435,06.9.28,"1,708,487"
____________ ______: ____________ ____________,20113557,_________,10067353,08.7.17,"1,708,309"
____________ ______: ____________ ____________,20113557,_________,10021341,12.10.31,"1,708,130"
____________ ______: ____________ ____________,20113557,_________,20127192,06.12.14,"1,707,952"
____________ ______: ____________ ____________,20113557,_________,20127194,10.8.4,"1,707,773"
____________ ______: ____________ ____________,20113557,_________,20127900,09.12.23,"1,707,595"
____________ ______: ____________ ____________,20113557,_________,20111927,06.1.19,"1,707,417"
____________ ______: ____________ ____________,20113557,_________,20179277,15.6.24,"1,707,238"
_________,20124401,_________,10057315,99.2.13,"1,707,060"
_________,20124401,_________,10072251,05.9.7,"1,706,881"
_________,20124401,_________,10090290,13.8.14,"1,706,703"
_________,20124401,_________,10028773,13.7.31,"1,706,524"
_________,20124401,_________,20066637,13.7.3,"1,706,346"
_________,20124401,_________,10061967,10.2.4,"1,706,167"
_________,20124401,_________,10054755,11.10.20,"1,705,989"
_________,20124401,______,10061610,03.4.25,"1,705,810"
_________,20124401,_________,20156220,12.12.25,"1,705,632"
_________,20124401,_________,20182742,05.1.27,"1,705,454"
_________,20124401,_________,20154345,08.2.14,"1,705,275"
_________,20124401,_________,20143687,15.9.16,"1,705,097"
_________,20124401,_________,20140752,03.2.7,"1,704,918"
_________,20112534,_________,10062071,12.8.8,"1,704,740"
_________,20112534,______,10001901,14.11.27,"1,704,561"
_________,20112534,_________,20124456,11.1.27,"1,704,383"
_________,20112534,_________,10058906,14.7.23,"1,704,204"
_________,20112534,_________,20134082,12.2.2,"1,704,026"
_________,20112534,_________,20139498,13.2.21,"1,703,847"
_________,20112534,_________,20162009,11.9.22,"1,703,669"
_________,20112534,_________,20129449,12.5.17,"1,703,491"
_________,20112534,_________,20125371,12.7.5,"1,703,312"
___ _________ ______ ___,20113554,_________,10058646,08.6.19,"1,703,134"
___ _________ ______ ___,20113554,_________,10055970,13.12.24,"1,702,955"
___ _________ ______ ___,20113554,_________,10019065,12.3.22,"1,702,777"
